"378462", 3
"988533", 7
"839790", 11
"880572", 10
"572292", 13
"370251", 16
"741867", 10
"931854", 13
"825678", 7
"783699", 7
"623637", 12
"888741", 10
"106302", 8
"778281", 10
"968457", 11
"5985", 8
"868917", 10
"214074", 8
"155631", 10
"776538", 8
"635775", 12
"82446", 10
"36603", 9
"304542", 12
"260526", 8
"120120", 8
"734223", 10
"498603", 16
"359100", 11
"812007", 13
"410340", 8
"949725", 13
"665112", 12
"300258", 16
"494928", 3
"82992", 11
"311178", 14
"401247", 9
"28560", 11
"53907", 8
"629391", 10
"234171", 8
"689430", 11
"776286", 10
"232176", 5
"153825", 11
"623091", 14
"515067", 11
"89376", 13
"280980", 7
"260295", 8
"766563", 9
"195510", 13
"19971", 12
"273", 13
"802599", 9
"762279", 13
"80598", 11
"392112", 6
"998088", 11
"245826", 15
"944034", 7
"622944", 13
"583212", 8
"12012", 13
"42084", 16
"701862", 10
"119868", 11
"3486", 8
"836955", 12
"53739", 6
"63021", 4
"963543", 15
"937041", 9
"939918", 8
"149142", 10
"887922", 10
"247464", 8
"49560", 7
"463008", 9
"411432", 9
"424830", 16
"898233", 12
"353262", 8
"554379", 12
"656964", 13
"612465", 8
"69174", 10
"874356", 12
"250992", 10
"45444", 15
"657615", 8
"168084", 17
"827526", 14
"875007", 13
"44793", 10
"458808", 7
"650496", 11
"767214", 7
"634809", 12
"948192", 7
"160251", 10
"158718", 5
"884478", 8
"575043", 9
"861420", 11
"211554", 11
"829584", 8
"719208", 11
"926667", 8
"953442", 8
"125433", 21
"320502", 9
"497553", 12
"484407", 11
"674394", 6
"418614", 5
"528822", 12
"163506", 8
"112959", 8
"993741", 11
"844536", 11
"182406", 2
"513051", 10
"948444", 6
"462357", 15
"268149", 10
"127470", 7
"824691", 8
"850416", 11
"427560", 7
"705096", 12
"587139", 10
"776601", 9
"931077", 10
"280308", 11
"285159", 9
"939267", 9
"237594", 13
"570171", 13
"844284", 12
"141288", 8
"83769", 11
"143178", 11
"735987", 8
"734559", 10
"274197", 10
"718158", 14
"216027", 7
"495726", 8
"1176", 15
"433881", 10
"876729", 7
"713223", 12
"380856", 11
"169029", 12
"497763", 4
"339885", 8
"27615", 10
"29925", 7
"193179", 13
"495894", 14
"129234", 10
"59031", 9
"235389", 5
"161616", 6
"178101", 8
"238875", 7
"192885", 10
"771267", 8
"263172", 11
"938133", 10
"217539", 7
"356643", 16
"858942", 14
"503727", 4
"597219", 8
"497490", 12
"12831", 5
"511224", 7
"355593", 9
"930300", 11
"965055", 11
"8547", 10
"296772", 8
"382704", 8
"119049", 14
"666267", 23
"446859", 9
"66507", 10
